ID,电影名,地区,导演,主演,类型,特色,评分,评分标准差
1291544,哈利·波特与阿兹卡班的囚徒,英国,阿方索·卡隆,丹尼尔·雷德克里夫|艾玛·沃森|鲁伯特·格林特|加里·奥德曼|朱丽·沃特斯,剧情|奇幻|悬疑|科幻|冒险,魔幻|经典|青春,8.3,1.2604297562246518
1291545,大鱼,美国,蒂姆·波顿,伊万·麦克格雷格|阿尔伯特·芬尼|比利·克鲁德普|杰西卡·兰格|海伦娜·伯翰·卡特,冒险|剧情|奇幻,魔幻|经典,8.7,1.492991970850823
1291548,死亡诗社,美国,彼得·威尔,罗宾·威廉姆斯|罗伯特·肖恩·莱纳德|伊桑·霍克|乔西·查尔斯|盖尔·汉森,剧情,经典|励志|青春,9.0,1.4890239058497996
1291552,指环王3：王者无敌,美国,彼得·杰克逊,维果·莫腾森|伊莱贾·伍德|西恩·奥斯汀|丽芙·泰勒|伊恩·麦克莱恩,战争|剧情|奇幻|冒险|动作,魔幻|经典|励志,9.1,1.5833217219487208
1291554,歌剧魅影,英国,泰伦斯·费希,赫伯特·罗姆|海瑟·西尔斯|Edward de Souza,爱情|犯罪|剧情|惊悚|恐怖|音乐|悬疑|歌舞,经典|文艺,8.1,1.4278685348143534
1291562,黑暗中的舞者,丹麦,拉斯·冯·提尔,比约克|凯瑟琳·德纳芙|大卫·摩斯|彼得·斯特曼|乔尔·格雷,剧情|音乐|犯罪|歌舞,感人|女性|经典|文艺,8.3,1.5512325171689523
1291571,指环王1：魔戒再现,英国,彼得·杰克逊,伊莱贾·伍德|西恩·奥斯汀|伊恩·麦克莱恩|维果·莫腾森|奥兰多·布鲁姆,战争|剧情|奇幻|冒险|动作,魔幻|经典|励志,8.9,1.4975585737064463
1291572,指环王2：双塔奇兵,美国,彼得·杰克逊,伊莱贾·伍德|西恩·奥斯汀|伊恩·麦克莱恩|维果·莫腾森|奥兰多·布鲁姆,战争|剧情|奇幻|冒险|动作,魔幻|经典|励志,9.0,1.5318102501386397
1291580,杀死比尔,美国,昆汀·塔伦蒂诺,乌玛·瑟曼|刘玉玲|薇薇卡·福克斯|达丽尔·汉纳|大卫·卡拉丁,动作|惊悚|剧情|犯罪,经典|黑帮,8.1,1.4209796561468366
1291584,杀死比尔2,美国,昆汀·塔伦蒂诺,乌玛·瑟曼|大卫·卡拉丁|刘家辉|薇薇卡·福克斯|刘玉玲,爱情|犯罪|剧情|惊悚|动作,经典|黑帮,7.8,1.3460043565039925
1291586,海底总动员,美国,安德鲁·斯坦顿|李·昂克里奇,艾伯特·布鲁克斯|艾伦·德杰尼勒斯|亚历山大·古尔德|威廉·达福|布拉德·加内特,冒险|喜剧,搞笑|经典,8.2,1.3124378218459336
1291818,饮食男女,中国大陆,曹瑞原,霍思燕|蓝正龙|归亚蕾|张孝全|曾江,爱情|剧情,感人|经典|文艺,5.3,1.430791470144018
1291822,卢旺达饭店,英国,特瑞·乔治,唐·钱德尔|苏菲·奥康内多|杰昆·菲尼克斯|尼克·诺特|哈基姆·凯-卡西姆,传记|战争|剧情|历史,感人|经典,8.9,1.2649814131157662
1291824,黑鹰坠落,美国,雷德利·斯科特,乔什·哈奈特|伊万·麦克格雷格|汤姆·塞兹摩尔|金·寇兹|艾文·布莱纳,剧情|战争|动作|历史,经典,8.6,1.3612651565060805
1291832,低俗小说,美国,昆汀·塔伦蒂诺,约翰·特拉沃尔塔|乌玛·瑟曼|阿曼达·普拉莫|蒂姆·罗斯|塞缪尔·杰克逊,犯罪|剧情|喜剧|惊悚|悬疑|动作,搞笑|经典|黑帮|文艺,8.8,1.4921989336739439
1291833,杯酒人生,美国,亚历山大·佩恩,保罗·吉亚玛提|托马斯·哈登·丘奇|维吉妮娅·马德森|吴珊卓|玛丽路易丝·贝克,爱情|剧情|喜剧,经典|文艺,7.9,1.1917589323577755
1291835,迷失东京,日本,索菲亚·科波拉,斯嘉丽·约翰逊|比尔·默瑞|吉奥瓦尼·瑞比西|竹下明子|安娜·法瑞丝,爱情|剧情,经典|文艺,7.7,1.340507725065753
1291836,戴珍珠耳环的少女,英国,彼得·韦柏 ,科林·费尔斯|斯嘉丽·约翰逊|汤姆·威尔金森|朱迪·帕瑞福特|基里安·墨菲,爱情|传记|剧情,女性|经典|文艺,7.7,1.2571349285599638
1291840,走出非洲,美国,西德尼·波拉克,梅丽尔·斯特里普|罗伯特·雷德福|克劳斯·马利亚·布朗道尔|迈克尔·基臣,传记|爱情|冒险|剧情,女性|经典|文艺,8.5,1.1627423956217766
1291841,教父,美国,弗朗西斯·福特·科波拉,马龙·白兰度|阿尔·帕西诺|詹姆斯·肯恩|理查德·卡斯特尔诺|罗伯特·杜瓦尔,动作|剧情|犯罪,经典|黑帮|励志,9.2,1.5530537582376152
1291842,当哈利遇到莎莉,美国,罗伯·莱纳,梅格·瑞恩|比利·克里斯托|凯丽·费雪|布鲁诺·柯比,爱情|剧情|喜剧,经典|文艺,8.2,1.261605068836561
1291843,黑客帝国,澳大利亚,莉莉·沃卓斯基|拉娜·沃卓斯基,基努·里维斯|凯瑞-安·莫斯|劳伦斯·菲什伯恩|雨果·维文|格洛丽亚·福斯特,剧情|奇幻|犯罪|悬疑|科幻|冒险|动作,经典,8.8,1.519296788081443
1291844,终结者2：审判日,法国,詹姆斯·卡梅隆,阿诺·施瓦辛格|琳达·汉密尔顿|爱德华·福隆|罗伯特·帕特里克|阿尔·伯恩,科幻|惊悚|动作|剧情,经典,8.6,0.9898394498443579
1291853,英国病人,英国,安东尼·明格拉,拉尔夫·费因斯|朱丽叶·比诺什|威廉·达福|克里斯汀·斯科特·托马斯|纳威恩·安德利维斯,爱情|战争|剧情,感人|经典|文艺,8.5,1.447089862126422
1291859,布拉格之恋,法国,菲利普·考夫曼,丹尼尔·戴-刘易斯|朱丽叶·比诺什|莉娜·奥琳|德雷克·德·林特|厄兰·约瑟夫森,爱情|剧情|情色,经典|文艺,8.1,1.2773074838653558
1291869,本能,法国,保罗·范霍文,迈克尔·道格拉斯|莎朗·斯通|乔治·杜兹达扎|珍妮·特里普里霍恩|丹尼斯·阿尔恩特,爱情|犯罪|剧情|惊悚|悬疑|情色,经典,7.7,1.2951719095719232
1291870,雨人,美国,巴瑞·莱文森,达斯汀·霍夫曼|汤姆·克鲁斯|瓦莱丽亚·戈利诺|邦尼·亨特,剧情,感人|经典|励志,8.6,1.3179447796781707
1291990,爱在日落黄昏时,美国,理查德·林克莱特,伊桑·霍克|朱莉·德尔佩|弗农·多布切夫,爱情|剧情,感人|经典|文艺,8.8,1.4982084730199021
