ID,品类,商品名,品牌,店铺名,经济体,省份,地级市,原价,快递费,是否天猫,活动价1,月销量1,累计评价1,信誉1,活动价2,月销量2,累计评价2,信誉2,活动价3,月销量3,累计评价3,信誉3,活动价4,月销量4,累计评价4,信誉4,活动价5,月销量5,累计评价5,信誉5,活动价6,月销量6,累计评价6,信誉6
558596846348,蛋,鸽蛋,亿嘉,ecde08c9e65779b6,中国大陆,湖北,孝感,112.86,0.0,0,79.0,14.0,54.0,1142.0,79.0,16.0,57.0,1184.0,89.0,18.0,63.0,1214.0,79.0,27.0,69.0,1239.0,69.0,33.0,72.0,1247.0,69.0,20.0,72.0,1260.0
531664242111,蛋,其他,other/其他,e25da776fa2f0726,中国大陆,浙江,嘉兴,45.68,0.0,0,45.68,168.0,344.0,2520.0,45.68,139.0,335.0,2587.0,45.68,181.0,312.0,2665.0,45.68,106.0,257.0,2704.0,45.68,104.0,201.0,2759.0,45.68,94.0,171.0,2800.0
576710529109,蛋,鸡蛋,初晓,ccba4eec3fdff6da,中国大陆,安徽,宣城,98.0,0.0,1,69.8,1142.0,413.0,-1.0,69.8,1252.0,686.0,-1.0,69.8,1249.0,973.0,-1.0,69.8,1234.0,1214.0,-1.0,69.8,1346.0,1548.0,-1.0,69.8,1131.0,1825.0,-1.0
548104662762,蛋,鸭蛋,百百阳,0e84d4953d5a816a,中国大陆,广西壮族自治区,南宁,118.0,0.0,1,59.8,191.0,1249.0,-1.0,59.8,403.0,1300.0,-1.0,59.8,5211.0,1532.0,-1.0,59.8,698.0,1676.0,-1.0,59.8,549.0,1768.0,-1.0,59.8,451.0,1803.0,-1.0
563546480661,蛋,鹌鹑蛋,金必得,e339d3da3c0db9f9,中国大陆,山东,临沂,69.0,0.0,1,26.9,3687.0,3815.0,-1.0,26.9,3763.0,5097.0,-1.0,26.9,4356.0,6381.0,-1.0,26.9,2228.0,6949.0,-1.0,26.9,3960.0,8125.0,-1.0,26.6,2791.0,9086.0,-1.0
546324731460,蛋,卤蛋,乡巴佬,58da8bbffbdc5ad8,中国大陆,江苏,宿迁,39.9,0.0,0,36.8,8000.0,4453.0,22696.0,36.8,7918.0,4156.0,23228.0,36.8,6943.0,3855.0,23717.0,36.8,275.0,2578.0,24055.0,35.9,445.0,2181.0,24413.0,36.8,421.0,1877.0,24845.0
540056554670,蛋,卤蛋,杨生记,9aeae9150dc2b0e2,中国大陆,浙江,温州,130.0,5.0,1,130.0,2599.0,2717.0,-1.0,130.0,1406.0,3152.0,-1.0,130.0,555.0,3317.0,-1.0,130.0,225.0,3366.0,-1.0,130.0,322.0,3442.0,-1.0,130.0,323.0,3482.0,-1.0
575094782466,蛋,鸡蛋,凸农,3c27ed0298436553,中国大陆,安徽,安庆,58.0,0.0,1,52.8,1580.0,1975.0,-1.0,56.8,1940.0,3030.0,-1.0,56.8,1201.0,3661.0,-1.0,58.0,375.0,3793.0,-1.0,50.8,472.0,3986.0,-1.0,48.8,254.0,4048.0,-1.0
547639636511,蛋,咸鸭蛋,淘乡甜,288216bc549b6f14,中国大陆,江苏,扬州,51.9,0.0,1,39.0,1954.0,45630.0,-1.0,44.9,767.0,45991.0,-1.0,42.9,699.0,46183.0,-1.0,42.9,173.0,46243.0,-1.0,39.9,371.0,46328.0,-1.0,39.9,385.0,40325.0,-1.0
564827140958,蛋,盐蛋,红太阳,79a716dbbab4af5b,中国大陆,江苏,扬州,350.0,0.0,1,185.0,1298.0,716.0,-1.0,180.0,1038.0,874.0,-1.0,180.0,1185.0,1023.0,-1.0,180.0,435.0,1066.0,-1.0,205.0,502.0,1112.0,-1.0,205.0,136.0,1130.0,-1.0
