ID,活动价,累计评价,月销量,信誉,天猫分数
567797118294,56.2,9.0,0.0,862.0,0.0
554095491655,196.0,321.0,34.0,8728.0,0.0
576944413519,79.0,40.0,1.0,40.0,0.0
550183128850,55.0,28.0,8.0,2378.0,0.0
569390163639,43.8,171.0,10.0,13664.0,0.0
572170484146,39.5,4.0,0.0,8873.0,0.0
43843684710,60.0,164.0,14.0,,4.9
534692421259,52.0,60.0,17.0,14617.0,0.0
575660454813,60.0,9.0,2.0,17.0,0.0
558596846348,79.0,57.0,16.0,1184.0,0.0
554004623856,2.8,41.0,240.0,21632.0,0.0
564465867975,5.0,6.0,46.0,1438.0,0.0
545528892188,276.0,77.0,34.0,4638.0,0.0
544746952952,42.0,33.0,18.0,206.0,0.0
571222914668,35.8,2.0,2.0,,5.0
531664242111,45.68,335.0,139.0,2587.0,0.0
576710529109,69.8,686.0,1252.0,,4.9
536620402199,176.0,1794.0,350.0,8728.0,0.0
548104662762,59.8,1300.0,403.0,,4.9
37735541645,156.0,2434.0,753.0,,4.8
535551900318,39.9,2884.0,11399.0,,4.8
563546480661,26.9,5097.0,3763.0,,4.9
546324731460,36.8,4156.0,7918.0,23228.0,0.0
540056554670,130.0,3152.0,1406.0,,4.8
542178341571,91.8,3619.0,668.0,28293.0,0.0
550832976067,89.9,2771.0,1135.0,11304.0,0.0
575094782466,56.8,3030.0,1940.0,,4.9
553406787981,134.0,7524.0,1437.0,,4.9
547639636511,44.9,45991.0,767.0,,4.8
539144800063,225.0,2300.0,705.0,,4.9
564827140958,180.0,874.0,1038.0,,4.8
530428316186,37.8,109855.0,30195.0,,4.8
547482384657,158.0,1874.0,783.0,,4.8
527171041750,119.6,1960.0,628.0,,4.9
565250457270,148.0,519.0,179.0,18380.0,0.0
555965106580,83.8,1909.0,821.0,736676.0,0.0
570730524151,118.0,135.0,130.0,,4.7
567934433075,35.8,7993.0,777.0,,4.9
39799519929,68.0,11013.0,1325.0,,4.9
536714836600,89.6,4015.0,385.0,143177.0,0.0
568204969022,39.9,1866.0,892.0,229771.0,0.0
44280651095,157.9,265.0,154.0,4645.0,0.0
571101166558,37.8,2403.0,685.0,,4.5
