ID,活动价,累计评价,月销量,信誉,天猫分数
567797118294,56.2,11.0,0.0,816.0,0.0
554095491655,178.0,339.0,39.0,8456.0,0.0
576944413519,99.0,40.0,0.0,40.0,0.0
550183128850,55.0,27.0,5.0,2371.0,0.0
569390163639,43.8,181.0,24.0,13464.0,0.0
572170484146,39.5,4.0,0.0,6677.0,0.0
43843684710,60.0,158.0,14.0,,4.9
534692421259,54.0,68.0,22.0,14261.0,0.0
575660454813,60.0,8.0,2.0,16.0,0.0
558596846348,79.0,54.0,14.0,1142.0,0.0
554004623856,2.8,34.0,71.0,21285.0,0.0
564465867975,5.0,9.0,0.0,1425.0,0.0
545528892188,276.0,44.0,30.0,4501.0,0.0
544746952952,42.0,33.0,7.0,201.0,0.0
571222914668,35.8,2.0,2.0,,5.0
531664242111,45.68,344.0,168.0,2520.0,0.0
576710529109,69.8,413.0,1142.0,,4.9
536620402199,165.0,1986.0,316.0,8456.0,0.0
548104662762,59.8,1249.0,191.0,,4.8
37735541645,168.0,2320.0,1060.0,,4.9
563546480661,26.9,3815.0,3687.0,,4.9
546324731460,36.8,4453.0,8000.0,22696.0,0.0
540056554670,130.0,2717.0,2599.0,,4.8
542178341571,91.8,3561.0,751.0,27367.0,0.0
550832976067,89.9,2590.0,812.0,10698.0,0.0
575094782466,52.8,1975.0,1580.0,,4.9
553406787981,134.8,7064.0,1807.0,,4.9
547639636511,39.0,45630.0,1954.0,,4.8
539144800063,225.0,2251.0,659.0,,4.9
564827140958,185.0,716.0,1298.0,,4.8
530428316186,37.8,101708.0,32611.0,,4.8
547482384657,168.0,1794.0,1038.0,,4.8
527171041750,119.6,1847.0,510.0,,4.9
565250457270,148.0,421.0,156.0,17765.0,0.0
555965106580,83.8,2107.0,976.0,672596.0,0.0
570730524151,118.0,113.0,135.0,,4.7
567934433075,39.8,7787.0,327.0,,4.9
39799519929,68.0,11072.0,1216.0,,4.9
536714836600,89.6,5018.0,450.0,142333.0,0.0
568204969022,39.9,1203.0,567.0,223511.0,0.0
44280651095,157.9,187.0,139.0,4414.0,0.0
571101166558,37.8,2228.0,644.0,,4.5
551224307712,90.0,558.0,666.0,2754.0,0.0
569093396556,49.0,1270.0,1300.0,2864.0,0.0
19071949025,153.0,134.0,33.0,283626.0,0.0
527209018722,99.0,760.0,239.0,20001.0,0.0
545705948649,36.5,2925.0,1196.0,168588.0,0.0
566339256936,104.88,1324.0,227.0,12523.0,0.0
552740389270,95.8,1606.0,193.0,168340.0,0.0
537644064588,144.0,368.0,177.0,73871.0,0.0
549390147171,90.0,561.0,282.0,,4.9
577591540342,200.0,3.0,0.0,315.0,0.0
570546398982,89.0,3.0,0.0,152.0,0.0
566389066817,44.9,238.0,22.0,718.0,0.0
564476030251,26.8,26.0,14.0,,4.9
567233719119,29.8,783.0,59.0,26153.0,0.0
572949651510,48.8,1.0,50.0,18911.0,0.0
535872019783,88.8,26.0,0.0,,5.0
578558455025,29.5,25.0,9.0,,4.8
18000444076,1.96,65.0,1120.0,24488.0,0.0
568592644531,39.8,91.0,59.0,,4.5
545039566427,129.0,1582.0,55.0,,4.8
552139516456,38.9,11.0,5.0,11965.0,0.0
576792228560,3.0,4.0,105.0,284.0,0.0
569876343624,49.8,480.0,11.0,1114.0,0.0
545066743559,76.8,232.0,38.0,72173.0,0.0
577112492978,60.0,3.0,0.0,101.0,0.0
40621057100,118.0,1671.0,240.0,,4.8
562300503570,106.8,496.0,313.0,,4.9
525284129132,173.8,443.0,128.0,6526.0,0.0
576084624854,41.8,435.0,771.0,,4.9
561218623878,86.8,1276.0,786.0,,4.8
540060845153,150.0,1691.0,262.0,,4.9
573932448954,148.0,55.0,31.0,,5.0
577373639315,112.9,225.0,530.0,,4.9
568196818689,78.0,118.0,30.0,22559.0,0.0
5307599988,150.0,214.0,87.0,66447.0,0.0
525215271089,130.0,288.0,203.0,6526.0,0.0
579103945926,29.9,1554.0,6997.0,,4.8
574336547040,19.9,3595.0,5538.0,,4.8
533149918989,85.0,499.0,39.0,6163.0,0.0
550652845588,69.9,1708.0,154.0,21992.0,0.0
543597332651,75.0,623.0,688.0,5662.0,0.0
13343393572,148.0,550.0,43.0,,4.9
552754081190,75.0,204.0,101.0,4340.0,0.0
523048337117,79.8,5807.0,807.0,,4.8
555416487732,82.8,273.0,100.0,15242.0,0.0
576087439063,79.9,119.0,165.0,,4.8
569092628635,36.8,942.0,1077.0,1780.0,0.0
38865607719,59.8,4460.0,913.0,103254.0,4.8
576261131857,85.0,142.0,115.0,5662.0,0.0
559998816412,54.9,12568.0,1379.0,26440.0,0.0
548039513616,69.9,2333.0,678.0,11356.0,0.0
564415461802,36.8,2762.0,1259.0,11363.0,0.0
543489390986,135.0,228.0,41.0,9532.0,0.0
44839778465,108.0,215.0,63.0,,4.9
528641618528,32.8,4431.0,180.0,,4.8
554454576837,36.9,2198.0,738.0,86687.0,0.0
570006216797,47.5,7378.0,3295.0,12150.0,0.0
566306790222,89.9,613.0,195.0,793.0,0.0
42601463068,1428.0,22.0,8.0,14815.0,0.0
574999298993,88.8,90.0,48.0,2141.0,0.0
557023658138,85.0,119.0,99.0,1144.0,0.0
557861781831,83.0,560.0,114.0,2405.0,0.0
539544794088,80.0,149.0,290.0,2954.0,0.0
576267349524,179.8,69.0,106.0,4414.0,0.0
556595251967,59.5,1385.0,587.0,,4.8
557900653370,105.0,375.0,98.0,14416.0,0.0
562411282697,87.0,1369.0,259.0,17765.0,0.0
545060071374,90.0,58.0,51.0,5662.0,0.0
546977180319,29.8,1117.0,609.0,6626.0,0.0
562227138632,86.8,801.0,165.0,60272.0,0.0
545072307069,69.8,714.0,409.0,6478.0,0.0
521019168092,173.8,237.0,53.0,37148.0,0.0
572125302201,58.5,342.0,181.0,,4.9
563703111433,69.0,89.0,72.0,1157.0,0.0
574292598388,38.6,6373.0,4631.0,,4.8
45835666329,106.0,392.0,110.0,672596.0,0.0
577819554327,155.8,20.0,32.0,484.0,0.0
566138459944,36.2,2313.0,254.0,237881.0,0.0
556271648289,26.0,177.0,89.0,6286.0,0.0
547045695904,73.9,2917.0,524.0,34491.0,0.0
536721374913,52.8,5847.0,609.0,27026.0,0.0
559212639617,98.0,262.0,60.0,,4.8
553047608798,57.5,928.0,421.0,,4.8
565563433338,64.0,2836.0,933.0,4288.0,0.0
561111445599,288.0,151.0,27.0,4501.0,0.0
559312506265,68.8,212.0,247.0,2174.0,0.0
544667339876,55.9,980.0,370.0,3480.0,0.0
521950827779,29.8,1046.0,355.0,27165.0,0.0
574213833111,83.0,33.0,33.0,,4.9
524019200221,88.56,131.0,34.0,6991.0,0.0
560638331546,69.5,652.0,211.0,,4.9
549336073603,119.0,112.0,36.0,,4.6
547203819574,56.0,523.0,111.0,,4.9
563613387847,158.0,159.0,28.0,8731.0,0.0
532645176265,148.0,44.0,15.0,8253.0,0.0
577711229708,68.0,166.0,152.0,166.0,0.0
563289884118,81.8,298.0,53.0,142336.0,0.0
565109760085,118.8,73.0,70.0,,4.9
544603472917,36.9,1436.0,661.0,86688.0,0.0
554598991620,51.6,7785.0,2064.0,69997.0,0.0
571458603449,39.8,83.0,183.0,28149.0,0.0
19901509368,162.0,363.0,90.0,48445.0,0.0
557517357844,78.0,713.0,108.0,4436.0,0.0
527033603225,65.0,1224.0,294.0,9306.0,0.0
555374916098,180.0,23.0,58.0,4424.0,0.0
3756868607,1.05,78.0,1417.0,66759.0,0.0
531993361157,42.8,18.0,2.0,1345513.0,0.0
535907987860,75.0,181.0,51.0,,4.7
547816753264,5.0,,0.0,41.0,0.0
573005713242,25.8,30.0,1601.0,,5.0
533170130368,35.6,10.0,6.0,17711.0,0.0
574029440852,125.0,5.0,1.0,5.0,0.0
576434382932,128.0,290.0,472.0,,4.9
41525895146,1.35,31.0,220.0,82443.0,0.0
554923130401,37.7,18567.0,9273.0,,4.7
543173734971,53.9,5.0,5.0,20.0,0.0
576809743224,98.0,4.0,3.0,49.0,0.0
