ID,活动价,累计评价,月销量,信誉,天猫分数
567797118294,56.2,4.0,0.0,928.0,0.0
554095491655,188.0,244.0,59.0,9340.0,0.0
576944413519,79.0,41.0,0.0,41.0,0.0
550183128850,55.0,17.0,2.0,2383.0,0.0
569390163639,43.8,114.0,6.0,13759.0,0.0
572170484146,39.5,2.0,0.0,12088.0,0.0
43843684710,60.0,163.0,8.0,,4.9
534692421259,55.0,25.0,15.0,14974.0,0.0
575660454813,60.0,5.0,0.0,17.0,0.0
558596846348,79.0,69.0,27.0,1239.0,0.0
554004623856,2.8,41.0,395.0,22105.0,0.0
564465867975,5.0,10.0,45.0,1478.0,0.0
545528892188,288.0,130.0,18.0,4896.0,0.0
544746952952,39.5,49.0,11.0,252.0,0.0
571222914668,68.0,3.0,0.0,,5.0
531664242111,45.68,257.0,106.0,2704.0,0.0
576710529109,69.8,1214.0,1234.0,,4.9
536620402199,168.0,1626.0,171.0,9338.0,0.0
548104662762,59.8,1676.0,698.0,,4.8
37735541645,175.0,2540.0,332.0,,4.9
535551900318,36.9,5298.0,303.0,,4.8
563546480661,26.9,6949.0,2228.0,,4.9
546324731460,36.8,2578.0,275.0,24055.0,0.0
540056554670,130.0,3366.0,225.0,,4.8
542178341571,86.8,3206.0,533.0,29780.0,0.0
550832976067,85.0,2628.0,849.0,12362.0,0.0
575094782466,58.0,3793.0,375.0,,4.9
553406787981,125.0,7985.0,750.0,,4.9
547639636511,42.9,46243.0,173.0,,4.8
539144800063,225.0,2343.0,479.0,,4.9
564827140958,180.0,1066.0,435.0,,4.8
530428316186,37.8,122952.0,25993.0,,4.8
547482384657,155.0,2002.0,527.0,,4.8
527171041750,119.6,2148.0,313.0,,4.9
565250457270,148.0,610.0,161.0,19190.0,0.0
555965106580,83.8,2052.0,271.0,813907.0,0.0
570730524151,118.0,160.0,51.0,,4.7
567934433075,39.8,8376.0,673.0,,4.8
39799519929,68.0,10882.0,1176.0,,4.9
536714836600,89.6,3390.0,146.0,144277.0,0.0
568204969022,39.9,2566.0,519.0,236192.0,0.0
44280651095,157.9,361.0,108.0,4945.0,0.0
571101166558,37.8,2582.0,355.0,,4.5
551224307712,90.0,476.0,215.0,3280.0,0.0
569093396556,49.0,1372.0,720.0,3693.0,0.0
19071949025,153.0,89.0,20.0,292771.0,0.0
527209018722,99.0,1162.0,195.0,22105.0,0.0
545705948649,35.9,3155.0,418.0,196163.0,0.0
566339256936,103.8,1080.0,175.0,16038.0,0.0
552740389270,95.8,1653.0,31.0,184132.0,0.0
537644064588,144.0,345.0,80.0,88052.0,0.0
549390147171,90.0,732.0,223.0,,4.9
577591540342,200.0,3.0,0.0,315.0,0.0
566389066817,44.9,97.0,19.0,808.0,0.0
564476030251,26.8,27.0,0.0,,5.0
567233719119,28.8,231.0,5.0,31807.0,0.0
572949651510,48.8,1.0,0.0,18914.0,0.0
535872019783,88.8,18.0,0.0,,5.0
578558455025,29.5,27.0,0.0,,4.8
18000444076,1.96,94.0,490.0,25087.0,0.0
568592644531,39.8,141.0,46.0,,4.7
545039566427,138.8,1553.0,16.0,,4.9
552139516456,38.9,18.0,3.0,13764.0,0.0
576792228560,3.0,8.0,0.0,294.0,0.0
545066743559,76.8,262.0,24.0,73868.0,0.0
577112492978,60.0,3.0,0.0,101.0,0.0
40621057100,118.0,1712.0,161.0,,4.7
562300503570,103.8,616.0,76.0,,4.9
525284129132,165.0,400.0,105.0,7162.0,0.0
576084624854,41.8,1151.0,471.0,,4.9
561218623878,87.8,1647.0,157.0,,4.9
540060845153,150.0,1895.0,209.0,,4.9
573932448954,148.0,98.0,31.0,,4.8
577373639315,104.0,1321.0,884.0,,4.9
568196818689,79.88,96.0,71.0,23646.0,0.0
5307599988,165.0,114.0,37.0,66530.0,0.0
525215271089,132.0,533.0,114.0,7162.0,0.0
579103945926,29.9,13065.0,5267.0,,4.8
574336547040,20.01,5202.0,29.0,,4.8
533149918989,85.0,299.0,201.0,6773.0,0.0
550652845588,68.8,1001.0,95.0,34617.0,0.0
543597332651,75.0,705.0,250.0,6231.0,0.0
13343393572,148.0,421.0,39.0,,4.9
552754081190,69.7,132.0,25.0,4439.0,0.0
523048337117,79.8,7076.0,503.0,,4.8
555416487732,84.6,535.0,83.0,26754.0,0.0
576087439063,78.2,346.0,231.0,,4.8
569092628635,36.8,3501.0,525.0,5484.0,0.0
38865607719,59.8,4315.0,454.0,107382.0,4.8
576261131857,85.0,161.0,20.0,6232.0,0.0
559998816412,45.9,10347.0,593.0,28380.0,0.0
548039513616,69.9,2902.0,371.0,13042.0,0.0
564415461802,36.8,3526.0,798.0,14278.0,0.0
543489390986,135.0,267.0,41.0,10705.0,0.0
44839778465,108.0,233.0,51.0,,4.9
528641618528,32.8,3000.0,69.0,,4.8
554454576837,35.9,1541.0,270.0,103475.0,0.0
570006216797,41.8,10654.0,467.0,19368.0,0.0
566306790222,75.0,606.0,132.0,1060.0,0.0
42601463068,1428.0,18.0,2.0,15292.0,0.0
574999298993,86.0,185.0,36.0,3003.0,0.0
557023658138,85.0,126.0,45.0,1176.0,0.0
557861781831,75.0,504.0,29.0,3130.0,0.0
539544794088,80.0,448.0,43.0,3397.0,0.0
576267349524,179.8,192.0,88.0,4945.0,0.0
556595251967,57.5,1644.0,204.0,,4.9
557900653370,105.0,332.0,75.0,17418.0,0.0
562411282697,87.0,1040.0,170.0,19190.0,0.0
545060071374,90.0,66.0,21.0,6232.0,0.0
546977180319,29.8,1751.0,404.0,7560.0,0.0
562227138632,86.8,640.0,34.0,81604.0,0.0
545072307069,69.8,1287.0,263.0,7811.0,0.0
521019168092,165.0,202.0,19.0,38075.0,0.0
572125302201,58.5,749.0,0.0,,4.9
563703111433,69.0,77.0,69.0,1213.0,0.0
574292598388,36.0,10130.0,2102.0,,4.8
45835666329,95.0,339.0,47.0,813907.0,0.0
577819554327,155.8,138.0,20.0,1573.0,0.0
566138459944,36.0,1047.0,122.0,266041.0,0.0
556271648289,26.8,233.0,19.0,7066.0,0.0
547045695904,55.0,2393.0,373.0,39901.0,0.0
536721374913,48.8,5185.0,150.0,29133.0,0.0
559212639617,98.0,306.0,40.0,,4.8
553047608798,57.5,1441.0,521.0,,4.8
565563433338,57.0,4652.0,399.0,6911.0,0.0
561111445599,304.0,137.0,13.0,4896.0,0.0
559312506265,59.8,199.0,94.0,2270.0,0.0
544667339876,58.9,1674.0,409.0,4824.0,0.0
521950827779,29.8,959.0,442.0,28343.0,0.0
574213833111,88.0,37.0,4.0,,4.9
524019200221,89.96,140.0,15.0,7174.0,0.0
560638331546,69.5,777.0,120.0,,4.9
549336073603,119.0,133.0,51.0,,4.7
547203819574,58.0,547.0,25.0,,4.9
563613387847,158.0,175.0,5.0,10040.0,0.0
532645176265,148.0,58.0,29.0,8806.0,0.0
577711229708,120.0,201.0,0.0,201.0,0.0
563289884118,81.8,272.0,9.0,144277.0,0.0
565109760085,118.8,94.0,30.0,,4.8
