ID,活动价,累计评价,月销量,信誉,天猫分数
567797118294,56.2,5.0,0.0,914.0,0.0
554095491655,300.0,294.0,37.0,9053.0,0.0
576944413519,79.0,41.0,5.0,41.0,0.0
550183128850,55.0,27.0,11.0,2381.0,0.0
569390163639,43.8,142.0,14.0,13738.0,0.0
572170484146,39.5,3.0,0.0,11207.0,0.0
43843684710,60.0,165.0,16.0,,4.9
534692421259,52.0,46.0,37.0,14807.0,0.0
575660454813,60.0,9.0,0.0,17.0,0.0
558596846348,89.0,63.0,18.0,1214.0,0.0
554004623856,2.8,44.0,112.0,21886.0,0.0
564465867975,5.0,7.0,23.0,1460.0,0.0
545528892188,296.0,108.0,38.0,4787.0,0.0
544746952952,42.0,50.0,28.0,224.0,0.0
571222914668,68.0,3.0,0.0,,5.0
531664242111,45.68,312.0,181.0,2665.0,0.0
576710529109,69.8,973.0,1249.0,,4.9
536620402199,196.0,1716.0,632.0,9053.0,0.0
548104662762,59.8,1532.0,5211.0,,4.9
535551900318,39.9,5076.0,2673.0,,4.8
563546480661,26.9,6381.0,4356.0,,4.9
546324731460,36.8,3855.0,6943.0,23717.0,0.0
540056554670,130.0,3317.0,555.0,,4.8
542178341571,91.8,3567.0,913.0,29158.0,0.0
550832976067,89.9,2742.0,1580.0,11908.0,0.0
575094782466,56.8,3661.0,1201.0,,4.9
553406787981,141.0,7824.0,966.0,,4.9
547639636511,42.9,46183.0,699.0,,4.8
539144800063,225.0,2342.0,886.0,,4.9
564827140958,180.0,1023.0,1185.0,,4.8
530428316186,37.8,117478.0,42801.0,,4.8
547482384657,158.0,1960.0,1563.0,,4.8
527171041750,119.6,2081.0,500.0,,4.9
565250457270,148.0,550.0,254.0,18791.0,0.0
555965106580,83.8,2006.0,1094.0,785439.0,0.0
570730524151,118.0,153.0,106.0,,4.7
567934433075,35.8,8259.0,706.0,,4.9
39799519929,68.0,10964.0,1449.0,,4.9
536714836600,89.6,3656.0,620.0,143822.0,0.0
568204969022,39.9,2543.0,1565.0,235036.0,0.0
44280651095,157.9,326.0,168.0,4825.0,0.0
571101166558,37.8,2522.0,423.0,,4.5
551224307712,90.0,569.0,311.0,3251.0,0.0
569093396556,49.0,1510.0,1821.0,3566.0,0.0
19071949025,153.0,101.0,32.0,290893.0,0.0
527209018722,99.0,1050.0,340.0,21427.0,0.0
545705948649,36.9,3202.0,904.0,191476.0,0.0
566339256936,102.0,1418.0,298.0,14639.0,0.0
552740389270,95.8,1658.0,76.0,179753.0,0.0
537644064588,144.0,365.0,118.0,85168.0,0.0
549390147171,90.0,693.0,328.0,,4.9
577591540342,200.0,3.0,0.0,315.0,0.0
570546398982,89.0,1.0,0.0,153.0,0.0
566389066817,44.9,141.0,12.0,800.0,0.0
564476030251,26.8,27.0,2.0,,5.0
567233719119,29.8,263.0,25.0,30496.0,0.0
572949651510,48.8,1.0,0.0,18914.0,0.0
535872019783,88.8,18.0,7.0,,5.0
18000444076,1.96,77.0,710.0,24920.0,0.0
568592644531,39.8,131.0,57.0,,4.6
545039566427,138.8,1592.0,10.0,,4.9
552139516456,38.9,17.0,4.0,13261.0,0.0
576792228560,3.0,6.0,380.0,290.0,0.0
545066743559,76.8,260.0,40.0,73399.0,0.0
577112492978,60.0,3.0,0.0,101.0,0.0
40621057100,118.0,1714.0,290.0,,4.7
562300503570,103.8,603.0,266.0,,4.9
525284129132,165.0,386.0,353.0,6964.0,0.0
576084624854,42.8,1049.0,1132.0,,4.9
561218623878,87.8,1605.0,576.0,,4.9
540060845153,150.0,1863.0,517.0,,4.9
573932448954,148.0,87.0,85.0,,4.9
577373639315,124.0,1150.0,1861.0,,4.9
568196818689,79.88,82.0,183.0,23331.0,0.0
5307599988,201.0,142.0,66.0,66508.0,0.0
525215271089,132.0,473.0,235.0,6964.0,0.0
579103945926,29.9,12505.0,21002.0,,4.8
574336547040,20.01,5068.0,1663.0,,4.8
533149918989,85.0,252.0,228.0,6613.0,0.0
550652845588,68.0,1102.0,258.0,29236.0,0.0
543597332651,75.0,716.0,648.0,6134.0,0.0
13343393572,148.0,427.0,222.0,,4.9
552754081190,69.7,152.0,140.0,4426.0,0.0
523048337117,79.8,7039.0,1738.0,,4.8
555416487732,84.6,467.0,206.0,23813.0,0.0
576087439063,79.9,272.0,550.0,,4.8
569092628635,36.8,2869.0,1039.0,4578.0,0.0
38865607719,59.8,4562.0,917.0,106524.0,4.8
576261131857,85.0,157.0,84.0,6134.0,0.0
559998816412,49.9,11042.0,1929.0,27815.0,0.0
548039513616,69.9,2733.0,725.0,12647.0,0.0
564415461802,35.9,3317.0,1368.0,13565.0,0.0
543489390986,135.0,257.0,104.0,10365.0,0.0
44839778465,108.0,229.0,113.0,,4.9
528641618528,32.8,3233.0,140.0,,4.8
554454576837,36.9,1679.0,442.0,97522.0,0.0
570006216797,42.8,10482.0,1262.0,17473.0,0.0
566306790222,89.9,659.0,304.0,993.0,0.0
42601463068,1428.0,18.0,2.0,15232.0,0.0
574999298993,86.0,158.0,78.0,2770.0,0.0
557023658138,85.0,133.0,2.0,1176.0,0.0
557861781831,88.0,552.0,89.0,2954.0,0.0
539544794088,105.0,404.0,96.0,3315.0,0.0
576267349524,179.8,169.0,142.0,4825.0,0.0
556595251967,57.5,1599.0,421.0,,4.9
557900653370,105.0,305.0,154.0,16436.0,0.0
562411282697,87.0,1153.0,207.0,18791.0,0.0
545060071374,90.0,66.0,82.0,6134.0,0.0
546977180319,29.8,1712.0,468.0,7489.0,0.0
562227138632,86.8,672.0,131.0,77491.0,0.0
545072307069,69.8,1123.0,387.0,7521.0,0.0
521019168092,165.0,168.0,100.0,37857.0,0.0
563703111433,69.0,81.0,22.0,1197.0,0.0
574292598388,38.6,9541.0,5214.0,,4.8
45835666329,106.0,294.0,324.0,785418.0,0.0
577819554327,155.8,106.0,72.0,1289.0,0.0
566138459944,37.6,1163.0,205.0,260211.0,0.0
556271648289,26.8,237.0,61.0,6846.0,0.0
547045695904,55.0,2635.0,722.0,38764.0,0.0
536721374913,48.8,5933.0,828.0,28678.0,0.0
559212639617,98.0,293.0,71.0,,4.8
553047608798,57.5,1350.0,1214.0,,4.8
565563433338,64.0,4435.0,888.0,6329.0,0.0
561111445599,320.0,128.0,35.0,4787.0,0.0
559312506265,68.8,203.0,268.0,2241.0,0.0
544667339876,58.9,1435.0,540.0,4362.0,0.0
521950827779,29.8,917.0,761.0,27879.0,0.0
574213833111,83.0,37.0,12.0,,4.9
524019200221,108.0,133.0,39.0,7119.0,0.0
560638331546,68.0,741.0,210.0,,4.9
549336073603,119.0,125.0,49.0,,4.7
547203819574,58.0,544.0,103.0,,4.8
563613387847,158.0,170.0,20.0,9602.0,0.0
532645176265,148.0,58.0,40.0,8584.0,0.0
577711229708,120.0,201.0,0.0,201.0,0.0
563289884118,81.8,279.0,49.0,143822.0,0.0
565109760085,118.8,89.0,64.0,,4.8
544603472917,36.9,2167.0,922.0,97522.0,0.0
554598991620,51.6,9997.0,3743.0,77963.0,0.0
571458603449,43.8,99.0,76.0,30605.0,0.0
19901509368,162.0,392.0,82.0,50018.0,0.0
557517357844,78.0,829.0,933.0,4939.0,0.0
527033603225,68.0,1299.0,240.0,9826.0,0.0
555374916098,180.0,30.0,31.0,4461.0,0.0
3756868607,1.05,78.0,191.0,68803.0,0.0
531993361157,42.8,18.0,1.0,1364365.0,0.0
535907987860,75.0,173.0,42.0,,4.8
547816753264,5.0,,0.0,41.0,0.0
573005713242,25.8,51.0,270.0,,5.0
533170130368,35.6,16.0,2.0,18956.0,0.0
574029440852,125.0,7.0,1.0,7.0,0.0
576434382932,115.0,521.0,604.0,,4.9
41525895146,1.35,32.0,83.0,91667.0,0.0
554923130401,37.4,21393.0,4090.0,,4.7
543173734971,53.9,7.0,1.0,25.0,0.0
576809743224,98.0,11.0,5.0,66.0,0.0
42786689755,39.9,815.0,4.0,,5.0
13842016436,65.0,7908.0,1708.0,,4.7
524390893094,60.0,18.0,3.0,66096.0,0.0
547411218339,49.9,16.0,0.0,,5.0
38508293748,2.0,8.0,0.0,2121.0,0.0
563497047702,116.0,469.0,225.0,2954.0,0.0
558032274693,42.9,106.0,0.0,102.0,0.0
569087401050,105.0,62.0,103.0,,5.0
571770079633,1.0,105.0,82.0,52495.0,0.0
565251103961,48.0,293.0,59.0,11908.0,0.0
570082114096,39.9,40.0,7.0,,5.0
576599665004,168.0,3.0,2.0,,4.0
536930094131,28.0,29.0,18.0,14807.0,0.0
536282761115,108.36,70.0,2.0,13364.0,0.0
571834233001,69.5,7.0,0.0,113.0,0.0
567031924454,52.0,18.0,1.0,362.0,0.0
41390933666,39.0,1131.0,218.0,4664373.0,0.0
564890810773,65.0,15.0,14.0,832858.0,0.0
44904763309,35.0,18.0,7.0,,4.4
559833730323,76.8,6.0,0.0,63.0,0.0
576408731788,89.0,3.0,0.0,,4.3
555876528796,90.0,14.0,69.0,7939.0,0.0
556059520989,49.9,29.0,4.0,2763.0,0.0
523811958193,84.9,49.0,14.0,2215.0,0.0
572541742188,118.0,34.0,3.0,618.0,0.0
528526900980,109.0,10.0,9.0,22507.0,0.0
573655020126,85.0,83.0,18.0,287495.0,0.0
542378065021,75.0,127.0,84.0,3315.0,0.0
578473353336,69.0,109.0,34.0,642.0,0.0
554614199114,108.0,19.0,4.0,2381.0,0.0
572835053117,99.8,83.0,22.0,668338.0,0.0
546638747442,32.8,924.0,172.0,,4.8
562252933036,99.0,354.0,46.0,6820.0,0.0
578421177882,93.8,78.0,349.0,29158.0,0.0
568597209631,118.0,32.0,9.0,1696.0,0.0
560322871266,72.8,43.0,67.0,5559.0,0.0
559157997875,52.8,382.0,145.0,9602.0,0.0
39484666420,28.5,53201.0,3227.0,,4.8
567402140273,55.8,1500.0,379.0,2334.0,0.0
561049407946,39.8,57881.0,22977.0,,4.8
524384719613,145.0,237.0,53.0,10944.0,0.0
527119991553,59.8,7341.0,5130.0,,4.9
573925513004,28.5,1150.0,547.0,1546.0,0.0
557453256310,56.0,1165.0,727.0,7832.0,0.0
566142272674,198.0,70.0,24.0,370.0,0.0
552740953293,180.8,238.0,48.0,179753.0,0.0
547889525566,130.0,220.0,98.0,,4.7
539374080012,36.9,552.0,184.0,97514.0,0.0
534509917486,52.0,10674.0,3185.0,785410.0,0.0
563552622043,59.8,651.0,293.0,10654.0,0.0
569516137138,39.9,1379.0,631.0,,4.8
573731286157,34.8,2274.0,1747.0,,4.8
520626408574,99.0,98.0,71.0,11601.0,0.0
565143753543,67.9,217.0,409.0,77548.0,0.0
565723459936,84.0,279.0,11.0,547.0,0.0
565211450444,2.0,8.0,0.0,108.0,0.0
551656502862,25.8,9.0,105.0,,5.0
565107531615,4.88,3.0,22.0,426.0,0.0
524009565533,310.0,197.0,115.0,9053.0,0.0
567551658098,147.0,7.0,2.0,727.0,0.0
561822172274,2.0,,30.0,2880.0,0.0
573415441466,88.0,8.0,0.0,1285.0,0.0
528449649447,168.0,2.0,0.0,2402.0,0.0
544999900318,106.0,651.0,134.0,2563.0,0.0
553326523650,33.9,1570.0,354.0,45022.0,0.0
569104589121,88.0,443.0,45.0,,4.7
562389745247,89.8,12.0,11.0,959.0,0.0
558867091234,253.0,342.0,181.0,3345.0,0.0
568743734860,68.0,1.0,0.0,29.0,0.0
19496946766,28.8,1231.0,570.0,1030206.0,0.0
549907795824,210.0,115.0,123.0,,5.0
547077674081,16.8,6.0,0.0,8802.0,0.0
39368174825,138.0,13.0,3.0,,5.0
558450261793,49.8,42.0,10.0,4275.0,0.0
576600470324,120.0,7.0,1.0,69.0,0.0
571027509978,45.8,4.0,5.0,2008.0,0.0
544590927164,415.0,1.0,0.0,,5.0
525706492375,48.8,9.0,3.0,77548.0,0.0
579936162956,39.8,74.0,117.0,970.0,0.0
559630298819,66.9,32.0,9.0,2215.0,0.0
558476818667,48.0,14.0,4.0,7556.0,0.0
576283897967,52.8,2.0,1.0,2719.0,0.0
578966605904,26.8,16.0,14.0,9805.0,0.0
540943988672,2.0,1.0,0.0,411.0,0.0
576929039838,31.3,27.0,2.0,2646.0,0.0
524857746392,95.5,242.0,158.0,172294.0,0.0
572811061540,32.9,219.0,10.0,668338.0,0.0
578772177934,25.8,670.0,232.0,77976.0,0.0
561959943669,37.8,23692.0,6589.0,77488.0,0.0
563149431398,38.8,137.0,11.0,2820.0,0.0
557542258993,73.6,307.0,43.0,9976.0,0.0
547684147615,39.8,9920.0,6884.0,,4.8
554153354743,49.8,729.0,177.0,182316.0,0.0
541504009602,22.5,2822.0,2314.0,,4.8
564512490380,38.0,5.0,1.0,,5.0
521359421143,38.8,9.0,3.0,98.0,0.0
563358885912,45.0,155.0,23.0,268048.0,0.0
575618958177,56.6,59.0,5.0,,4.8
525911575138,110.0,1906.0,559.0,54815.0,0.0
563832245974,68.0,50.0,23.0,25632.0,0.0
520950537616,56.5,273.0,234.0,785439.0,0.0
569432492708,9.9,264.0,802.0,,4.8
572697692707,95.0,88.0,7.0,668338.0,0.0
19099942214,180.0,117.0,84.0,,5.0
523082552551,75.0,,2.0,1600.0,0.0
550073496142,46.5,25.0,24.0,134.0,0.0
573012611694,34.9,446.0,27.0,668338.0,0.0
2560067077,12.0,4346.0,546.0,,4.7
570310785312,75.0,106.0,70.0,,4.7
553127772751,49.5,736.0,21.0,,4.8
577670030211,59.9,148.0,115.0,,4.8
564819077826,65.0,12.0,25.0,,5.0
558003406219,70.0,620.0,144.0,20612.0,0.0
555999245221,48.8,13935.0,3198.0,135508.0,0.0
526182614339,65.8,2145.0,220.0,,4.9
570494871093,45.0,194.0,75.0,,4.6
527723793837,75.0,1346.0,209.0,832828.0,0.0
555687277681,78.0,1194.0,246.0,67728.0,0.0
