goodsName,shopName,shopAge,shopPlace,shopMiaoshu,shopWuliu,shopFuwu,age,price,monthly_sales,productDescription,圆领,韩版,印花,纯色,无袖,中腰,中长裙,雪纺,短裙,修身,宽松,黑色,中裙,高腰,中长款,蕾丝,白色,甜美,长裙,显瘦,V领,条纹,镂空,大摆,欧美,褶皱,红色,荷叶边,蓝色,淑女,桑蚕丝,一步裙,绣花,粉色,长袖,碎花
歌兔雪纺连衣裙夏季长裙修身显瘦小清新 中长款女装露肩高腰裙子,歌兔服饰旗舰店,3,杭州,4.8,4.7,4.7,25-29,69.0,2952,"
廓形: A型
材质成分: 聚酯纤维100%
货号: GT16CQZ53
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 长裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 其他
腰型: 中腰
衣门襟: 套头
裙型: 大摆型
图案: 纯色
流行元素/工艺: 荷叶边 拉链
品牌: 歌兔
面料: 雪纺
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 优雅白 浅绿 嫩粉色 新粉色 天蓝色 宝蓝色 大红色 橄榄绿 黑色 浅黄色 高贵紫 粉红色 淡紫色 白底木兰 蓝底樱花 气质花枝 白底粉花 粉底水墨 绿底香芋 田园小花 水墨碎花 白底梅花 复古繁花
尺码: S M L XL XXL

",1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1
卡洛莱韩版气质修身露肩收腰a字裙夏季新款女装时尚雪纺连衣裙女,卡洛莱旗舰店,4,杭州,4.8,4.7,4.7,25-29,99.0,2944,"
廓形: A型
材质成分: 聚酯纤维100%
销售渠道类型: 纯电商(只在线上销售)
货号: KXXM572JW0
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中长裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 常规
腰型: 中腰
衣门襟: 套头
裙型: A字裙
图案: 纯色
流行元素/工艺: 抽褶 褶皱 拼接 拉链
品牌: 卡洛莱
面料: 其他
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 绿色现货 白色现货 红色现货 粉色现货 橘色 水蓝色 玫红色现货
尺码: 160/M 165/L 170/XL 175/XXL 155/S

",1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
Krazy清新减龄显瘦32支纯棉撞色polo领海魂条纹学院风弹力连衣裙,krazy服饰旗舰店,6,广州,4.8,4.8,4.8,25-29,131.0,2943,"
廓形: A型
材质成分: 棉95% 聚氨酯弹性纤维(氨纶)5%
销售渠道类型: 纯电商(只在线上销售)
货号: 8556
风格: 街头
街头: 欧美
组合形式: 单件
裙长: 短裙
袖长: 短袖
领型: POLO领
袖型: 常规
腰型: 高腰
衣门襟: 单排扣
裙型: A字裙
图案: 条纹
流行元素/工艺: 撞色
品牌: Krazy
面料: 织锦
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 蓝白条 灰白条 黑白条 白底蓝条 白底红条
尺码: 160/84A/S 165/88A/M 170/92A/L

",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
连衣裙女夏2016新款潮大码露肩小清新吊带裙印花V领雪纺沙滩裙子,多曼妮旗舰店,0,广州,4.8,4.7,4.7,18-24,69.0,2925,"
廓形: A型
材质成分: 其他100%
销售渠道类型: 纯电商(只在线上销售)
货号: D6507
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中长裙
款式: 吊带
袖长: 五分袖
领型: V领
袖型: 喇叭袖
腰型: 高腰
衣门襟: 套头
裙型: A字裙
图案: 花色
流行元素/工艺: 荷叶边 抽褶 露背 波浪 纽扣 印花
品牌: duomanny/多曼妮
面料: 雪纺
适用年龄: 18-24周岁
年份季节: 2016年夏季
颜色分类: 粉花色
尺码: S M L XL 2XL 3XL

",0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
韩版显瘦鱼尾裙子2016夏季高腰包臀挂脖露肩荷叶边无袖连衣裙修身,米莱伊旗舰店,3,杭州,4.8,4.8,4.8,25-29,158.0,2924,"
廓形: X型
材质成分: 聚酯纤维96.9% 聚氨酯弹性纤维(氨纶)3.1%
销售渠道类型: 纯电商(只在线上销售)
货号: M16B1992
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中裙
款式: 其他/other
袖长: 无袖
领型: 圆领
袖型: 其他
腰型: 高腰
衣门襟: 拉链
裙型: 荷叶边裙
图案: 其他
流行元素/工艺: 印花
品牌: 米莱伊
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 天蓝色 藏蓝色
尺码: S M L

",1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
古芙尼棉绸显瘦连衣裙夏波西米亚度假收腰印花长裙大码绵绸沙滩裙,dogufuni古芙尼旗舰店,3,嘉兴,4.8,4.8,4.8,25-29,69.0,2908,"
材质成分: 粘胶纤维(粘纤)100%
货号: DGFN16001
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 长裙
款式: 背带
袖长: 无袖
领型: 圆领
腰型: 高腰
衣门襟: 套头
裙型: A字裙
图案: 人物
流行元素/工艺: 3D 印花
品牌: Do gufuni/古芙尼
面料: 府绸
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 红蓝条纹 佩斯利纹 蓝绿方圆 原始部落 黑白细纹 装饰条纹 叶子图案
尺码: M L XL XXL S XXXL 4XL

",1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016新款夏季韩版短袖复古包臀连衣裙淑女气质修身显瘦收腰鱼尾裙,库恩玛维旗舰店,4,连云港,4.8,4.7,4.7,25-29,79.0,2886,"
廓形: A型
材质成分: 棉98.7% 聚氨酯弹性纤维(氨纶)1.3%
销售渠道类型: 纯电商(只在线上销售)
货号: K93577
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 常规
腰型: 高腰
衣门襟: 拉链
裙型: A字裙
图案: 花色
流行元素/工艺: 荷叶边 拉链 印花
品牌: KUHNMARVIN/库恩玛维
面料: 其他
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 图片色
尺码: S M L XL

",1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
歌兔气质雪纺连衣裙夏装裙子2016荷叶边修身显瘦波西米亚印花长裙,歌兔服饰旗舰店,3,杭州,4.8,4.7,4.7,25-29,89.0,2884,"
廓形: A型
材质成分: 聚酯纤维100%
货号: GT16CQZ87
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 长裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 荷叶袖
腰型: 中腰
衣门襟: 套头
裙型: 大摆型
图案: 花色
流行元素/工艺: 荷叶边 拉链
品牌: 歌兔
面料: 雪纺
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 白底粉花 白底木兰 薄荷绿 宝蓝色 大红色 新粉色 绿色 果青碎花 西瓜红 黑底梵花 嫩绿色 嫩粉色 淡雅紫 罗兰紫 复古繁花 黑底蓝花 魅力黑 气质花枝 天蓝色 异国花卉 优雅白 优雅花枝 蓝底樱花 民俗花卉
尺码: S M L XL XXL

",1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1
真丝连衣裙2016夏季新款女装韩版修身印花裙子高档桑蚕丝大摆长裙,十三月旗舰店,3,杭州,4.8,4.8,4.8,30-34,386.0,2856,"
廓形: A型
材质成分: 桑蚕丝100%
销售渠道类型: 纯电商(只在线上销售)
货号: SSYQZ1702
风格: 通勤
通勤: 韩版
组合形式: 假两件
裙长: 长裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 荷叶袖
腰型: 高腰
衣门襟: 套头
裙型: 大摆型
图案: 花色
流行元素/工艺: 荷叶边 链条 拼接 立体装饰 印花
品牌: 十三月
面料: 绸缎
适用年龄: 30-34周岁
年份季节: 2016年夏季
颜色分类: 黑色 水墨 白色
尺码: M L XL XXL 3XL

",1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
罗衣原创2016夏装新款知性OL职业修身包臀灰色无袖连衣中裙FH8371,罗衣旗舰店,8,广州,4.8,4.8,4.8,30-34,278.0,2820,"
廓形: H型
材质成分: 粘胶纤维(粘纤)70% 聚酯纤维25% 聚氨酯弹性纤维(氨纶)5%
销售渠道类型: 纯电商(只在线上销售)
货号: FH8371
风格: 通勤
通勤: OL风格
组合形式: 单件
裙长: 中裙
款式: 其他/other
袖长: 无袖
领型: 圆领
袖型: 常规
腰型: 中腰
衣门襟: 套头
裙型: 一步裙
图案: 纯色
品牌: Roey s house
面料: 其他
适用年龄: 30-34周岁
年份季节: 2016年夏季
颜色分类: 深灰色
尺码: S M L XL 2XL

",1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
