monthly_sales_log,price_log,age17,age18_24,age25_29,age30_34,age35_39,age40,圆领,韩版,黑色,中长款,白色,显瘦,雪纺,条纹,荷叶边,蓝色,红色,粉色
7.990576881743923,4.248495242049359,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1
7.987864096085687,4.605170185988092,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1
7.987524479848767,4.882801922586371,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
7.98139158158007,4.248495242049359,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
7.981049759665957,5.0689042022202315,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0
7.975564658495202,4.248495242049359,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0
7.967973179662935,4.382026634673881,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
7.9672801789422,4.499809670330265,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1
7.957527402230773,5.958424693029782,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0
7.944846711001996,5.631211781821365,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.932721027481948,4.605170185988092,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
7.928406026180535,4.59511985013459,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7.922623574217286,5.0106352940962555,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
7.9157131993821155,4.248495242049359,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
7.913521017283895,4.9344739331306915,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
7.909489492673759,4.499809670330265,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1
7.907283609426348,4.499809670330265,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
7.89989532313973,4.787491742782046,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1
7.888709524182015,4.605170185988092,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
7.888334500738654,5.075173815233827,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
7.8868329989550565,5.43372200355424,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
7.8826922062890254,4.941642422609304,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
7.873978379604501,4.605170185988092,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
7.859026979751538,4.382026634673881,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
7.857093864902493,4.48863636973214,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
7.8547691834991324,4.499809670330265,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0
7.8528278122817445,4.941642422609304,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
7.851271997109883,4.248495242049359,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
7.845416036592485,5.0106352940962555,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0
7.844240718141811,4.382026634673881,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
7.823245690685523,4.605170185988092,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0
7.813187267521416,4.9344739331306915,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
7.810758116529357,4.836281906951478,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
7.803435056952168,4.499809670330265,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
7.791109510610028,4.859812404361672,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
7.789868559054706,5.0689042022202315,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7.789454566086673,4.248495242049359,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
7.7886260656250315,4.59511985013459,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0
7.776954403322442,4.499809670330265,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
7.776115477098742,4.499809670330265,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
7.772752716468742,5.521460917862246,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1
7.768956044538332,4.499809670330265,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
7.764720544771477,5.187385805840755,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
7.764720544771477,4.248495242049359,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1
7.759614150696903,4.48863636973214,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0
7.758760544157663,4.605170185988092,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
7.755338812846501,4.9344739331306915,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
7.750614732770409,4.867534450455582,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
