presentDay,presentTime,itrm_id,goodsName,shopName,price,price_ave,monthly_sales,comments,miaoshu,fuwu,wuliu,productDescription,seller,info,remarks
2016-08-13,10:56:28,531776586540,Palglg2016夏季新款女装性感露背V领收腰无袖中长款大摆连衣裙子,palglg旗舰店,199.00,,796笔,507,4.8,4.8,4.7,"
材质成分: 聚酯纤维100%
销售渠道类型: 纯电商(只在线上销售)
货号: PD1291
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中长裙
款式: 其他/other
袖长: 无袖
领型: V领
袖型: 其他
腰型: 高腰
衣门襟: 套头
裙型: 大摆型
图案: 纯色
流行元素/工艺: 镂空 露背 褶皱 拼接 拉链
品牌: Palglg
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 薄荷绿
尺码: S M L

","
卖家信息




						palglg旗舰店
												


当前主营： 服饰鞋包
所在地区：杭州市 



","


宝贝与描述相符：
4.8分
										17.70%





4.8分
							共21751人
						



93.17%




3.20%




1.61%




0.78%




1.23%






卖家的服务态度：
4.8分
										15.23%





4.8分
							共21751人
						



89.08%




6.17%




2.35%




0.84%




1.55%






物流服务的质量：
4.7分
										15.61%





4.7分
							共21751人
						



89.14%




5.91%




2.40%




0.84%




1.71%




","
""tags"":{""dimenSum"":10,""rateSum"":541,""tagClouds"":[{""count"":158,""id"":""522"",""posi"":true,""tag"":""式样好"",""weight"":0},{""count"":156,""id"":""620"",""posi"":true,""tag"":""质量不错"",""weight"":0},{""count"":63,""id"":""1822"",""posi"":true,""tag"":""穿上好看"",""weight"":0},{""count"":31,""id"":""222"",""posi"":true,""tag"":""尺码很好"",""weight"":0},{""count"":30,""id"":""322"",""posi"":true,""tag"":""色彩很好"",""weight"":0},{""count"":28,""id"":""622"",""posi"":true,""tag"":""厚实"",""weight"":0},{""count"":28,""id"":""422"",""posi"":true,""tag"":""款式很好"",""weight"":0},{""count"":22,""id"":""11220"",""posi"":true,""tag"":""没有色差"",""weight"":0},{""count"":15,""id"":""922"",""posi"":true,""tag"":""做工好"",""weight"":0},{""count"":10,""id"":""122"",""posi"":true,""tag"":""料子好"",""weight"":0}]}"
2016-08-13,10:56:28,531635237190,女装夏装2016秋装新款潮牛仔连衣裙女夏20~25~30岁小清新学生裙子,arteyes艺艾旗舰店,79.00,,796笔,638,4.8,4.8,4.8,"
廓形: H型
材质成分: 棉81% 聚对苯二甲酸乙二酯(涤纶)19%
销售渠道类型: 纯电商(只在线上销售)
货号: YDSD0610
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 短裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 常规
腰型: 中腰
衣门襟: 套头
裙型: 一步裙
图案: 字母
流行元素/工艺: 拼接 印花
品牌: Arteyes/艺艾
面料: 牛仔布
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 白色 黑色
尺码: S M L XL XXL

","
卖家信息




						arteyes艺艾旗舰店
												
4
天猫4年店




当前主营： 服饰鞋包
所在地区：龙岩 



","


宝贝与描述相符：
4.8分
										19.99%





4.8分
							共15634人
						



93.89%




2.38%




1.61%




0.76%




1.36%






卖家的服务态度：
4.8分
										29.28%





4.8分
							共15634人
						



91.63%




4.08%




2.04%




0.78%




1.46%






物流服务的质量：
4.8分
										36.52%





4.8分
							共15634人
						



92.19%




3.88%




1.85%




0.80%




1.28%




","
""tags"":{""dimenSum"":10,""rateSum"":1046,""tagClouds"":[{""count"":294,""id"":""620"",""posi"":true,""tag"":""质量不错"",""weight"":0},{""count"":141,""id"":""1822"",""posi"":true,""tag"":""穿着漂亮"",""weight"":0},{""count"":123,""id"":""1722"",""posi"":true,""tag"":""很舒适"",""weight"":0},{""count"":121,""id"":""522"",""posi"":true,""tag"":""版型好"",""weight"":0},{""count"":115,""id"":""222"",""posi"":true,""tag"":""尺寸很准"",""weight"":0},{""count"":68,""id"":""422"",""posi"":true,""tag"":""款式很好"",""weight"":0},{""count"":52,""id"":""11220"",""posi"":true,""tag"":""没有色差"",""weight"":0},{""count"":50,""id"":""922"",""posi"":true,""tag"":""做工不错"",""weight"":0},{""count"":50,""id"":""122"",""posi"":true,""tag"":""料子不错"",""weight"":0},{""count"":32,""id"":""1120"",""posi"":true,""tag"":""人群"",""weight"":0}]}"
2016-08-13,10:56:28,525569383893,欧洲站2016新款欧美女装连衣裙赫本复古大摆收腰小黑裙优雅小礼服,潮尹饰旗舰店,259.00,,793笔,873,4.9,4.8,4.8,"
廓形: A型
材质成分: 粘胶纤维(粘纤)60.1% 聚酰胺纤维(锦纶)33.5% 聚氨酯弹性纤维(氨纶)6.4%
销售渠道类型: 纯电商(只在线上销售)
货号: L160119
风格: 通勤
通勤: 复古
组合形式: 单件
裙长: 中长裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 常规
腰型: 中腰
衣门襟: 套头
裙型: 大摆型
图案: 纯色
流行元素/工艺: 抽褶 褶皱 拉链
品牌: 潮尹饰
面料: 其他
适用年龄: 30-34周岁
年份季节: 2016年春季
颜色分类: 黑色【厚】 黑色【薄】
尺码: S M L XL XXL 需定做，请联系客服

","
卖家信息




						潮尹饰旗舰店
												
6
天猫6年店




当前主营： 服饰鞋包
所在地区：广州 



","


宝贝与描述相符：
4.9分
										43.18%





4.9分
							共2158人
						



94.21%




3.61%




1.30%




0.28%




0.60%






卖家的服务态度：
4.8分
										55.13%





4.8分
							共2158人
						



93.28%




4.96%




0.70%




0.23%




0.83%






物流服务的质量：
4.8分
										56.18%





4.8分
							共2158人
						



93.14%




4.96%




0.97%




0.19%




0.74%




","
""tags"":{""dimenSum"":10,""rateSum"":1208,""tagClouds"":[{""count"":271,""id"":""620"",""posi"":true,""tag"":""整体不错"",""weight"":0},{""count"":242,""id"":""1822"",""posi"":true,""tag"":""穿着美"",""weight"":0},{""count"":184,""id"":""522"",""posi"":true,""tag"":""版型好"",""weight"":0},{""count"":116,""id"":""222"",""posi"":true,""tag"":""尺寸很准"",""weight"":0},{""count"":113,""id"":""1722"",""posi"":true,""tag"":""很舒服"",""weight"":0},{""count"":75,""id"":""122"",""posi"":true,""tag"":""面料好"",""weight"":0},{""count"":73,""id"":""922"",""posi"":true,""tag"":""做工很好"",""weight"":0},{""count"":58,""id"":""622"",""posi"":true,""tag"":""衣服厚实"",""weight"":0},{""count"":50,""id"":""422"",""posi"":true,""tag"":""款式漂亮"",""weight"":0},{""count"":26,""id"":""1120"",""posi"":true,""tag"":""人群"",""weight"":0}]}"
2016-08-13,10:56:28,529584837485,少女连衣裙2016夏装新款韩版中长款学院风小清新短袖学生A字裙子,色彩旋律旗舰店,138.00,,792笔,1220,4.8,4.8,4.8,"
廓形: A型
材质成分: 棉100%
销售渠道类型: 纯电商(只在线上销售)
货号: SC8637
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 常规
腰型: 中腰
衣门襟: 套头
裙型: A字裙
图案: 纯色
流行元素/工艺: 贴布 木耳 绑带
品牌: 色彩旋律
面料: 其他
适用年龄: 18-24周岁
年份季节: 2016年夏季
颜色分类: 白色 藏青 粉色 水蓝
尺码: M L XL S XXL

","
卖家信息




						色彩旋律旗舰店
												
3
天猫3年店




当前主营： 服饰鞋包
所在地区：杭州市 



","


宝贝与描述相符：
4.8分
										21.90%





4.8分
							共9836人
						



92.75%




4.13%




1.57%




0.49%




1.07%






卖家的服务态度：
4.8分
										24.67%





4.8分
							共9834人
						



89.84%




6.20%




2.00%




0.59%




1.36%






物流服务的质量：
4.8分
										24.13%





4.8分
							共9834人
						



89.78%




6.05%




1.97%




0.73%




1.46%




","
""tags"":{""dimenSum"":10,""rateSum"":1293,""tagClouds"":[{""count"":278,""id"":""620"",""posi"":true,""tag"":""质量蛮好"",""weight"":0},{""count"":238,""id"":""522"",""posi"":true,""tag"":""外形好看"",""weight"":0},{""count"":176,""id"":""1822"",""posi"":true,""tag"":""穿着美"",""weight"":0},{""count"":148,""id"":""1120"",""posi"":true,""tag"":""人群"",""weight"":0},{""count"":127,""id"":""1722"",""posi"":true,""tag"":""很舒服"",""weight"":0},{""count"":121,""id"":""122"",""posi"":true,""tag"":""面料好"",""weight"":0},{""count"":89,""id"":""222"",""posi"":true,""tag"":""码数很准"",""weight"":0},{""count"":48,""id"":""422"",""posi"":true,""tag"":""款式很潮"",""weight"":0},{""count"":34,""id"":""322"",""posi"":true,""tag"":""颜色很好"",""weight"":0},{""count"":34,""id"":""922"",""posi"":true,""tag"":""做工很好"",""weight"":0}]}"
2016-08-13,10:56:28,532128108302,2016年夏季新款纯色连衣裙收腰显瘦圆领泡泡袖雪纺A版连衣裙中长,艾可思伦特旗舰店,188.00,,791笔,905,4.9,4.8,4.8,"
廓形: A型
材质成分: 聚酯纤维100%
销售渠道类型: 纯电商(只在线上销售)
货号: AK16X691A
风格: 通勤
通勤: OL风格
组合形式: 单件
裙长: 中长裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 常规
腰型: 中腰
衣门襟: 套头
裙型: A字裙
图案: 纯色
流行元素/工艺: 绣花 纱网
品牌: 艾可思伦特
面料: 雪纺
适用年龄: 35-39周岁
年份季节: 2016年夏季
颜色分类: 米白 红色 绿色 蓝色 粉色 黑色
尺码: M L XL XXL XXXL S

","
卖家信息




						艾可思伦特旗舰店
												
4
天猫4年店




当前主营： 服饰鞋包
所在地区：杭州市 



","


宝贝与描述相符：
4.9分
										41.13%





4.9分
							共5687人
						



94.60%




3.02%




1.16%




0.40%




0.81%






卖家的服务态度：
4.8分
										39.73%





4.8分
							共5687人
						



91.68%




5.24%




1.55%




0.51%




1.02%






物流服务的质量：
4.8分
										40.87%





4.8分
							共5687人
						



92.05%




4.66%




1.60%




0.55%




1.14%




","
""tags"":{""dimenSum"":10,""rateSum"":1163,""tagClouds"":[{""count"":285,""id"":""620"",""posi"":true,""tag"":""质量好"",""weight"":0},{""count"":155,""id"":""1822"",""posi"":true,""tag"":""穿着漂亮"",""weight"":0},{""count"":153,""id"":""522"",""posi"":true,""tag"":""板型很好"",""weight"":0},{""count"":140,""id"":""1722"",""posi"":true,""tag"":""很舒适"",""weight"":0},{""count"":138,""id"":""222"",""posi"":true,""tag"":""码子很准"",""weight"":0},{""count"":75,""id"":""322"",""posi"":true,""tag"":""颜色很美"",""weight"":0},{""count"":71,""id"":""1120"",""posi"":true,""tag"":""人群"",""weight"":0},{""count"":60,""id"":""122"",""posi"":true,""tag"":""料子不错"",""weight"":0},{""count"":52,""id"":""422"",""posi"":true,""tag"":""款式蛮好"",""weight"":0},{""count"":34,""id"":""922"",""posi"":true,""tag"":""做工不错"",""weight"":0}]}"
2016-08-13,10:56:28,525120787071,小黑裙女装2016韩国新款修身显瘦无袖打底裙图案印花雪纺连衣裙夏,靓雪蒂旗舰店,138.00,,791笔,992,4.7,4.7,4.7,,"
卖家信息




						靓雪蒂旗舰店
												


当前主营： 服饰鞋包
所在地区：杭州市 



","


宝贝与描述相符：
4.7分
										0.70%





4.7分
							共12592人
						



90.35%




4.25%




2.39%




1.03%




1.98%






卖家的服务态度：
4.7分
										1.10%





4.7分
							共12592人
						



84.93%




8.14%




3.15%




1.18%




2.60%






物流服务的质量：
4.7分
										0.66%





4.7分
							共12592人
						



85.51%




7.88%




3.19%




1.00%




2.42%




","
""tags"":{""dimenSum"":9,""rateSum"":889,""tagClouds"":[{""count"":242,""id"":""620"",""posi"":true,""tag"":""整体不错"",""weight"":0},{""count"":164,""id"":""1822"",""posi"":true,""tag"":""穿着效果好"",""weight"":0},{""count"":142,""id"":""522"",""posi"":true,""tag"":""版型好看"",""weight"":0},{""count"":119,""id"":""222"",""posi"":true,""tag"":""衣服很合身"",""weight"":0},{""count"":85,""id"":""1722"",""posi"":true,""tag"":""衣服很舒服"",""weight"":0},{""count"":41,""id"":""122"",""posi"":true,""tag"":""布料好"",""weight"":0},{""count"":40,""id"":""422"",""posi"":true,""tag"":""款式漂亮"",""weight"":0},{""count"":30,""id"":""922"",""posi"":true,""tag"":""做工很赞"",""weight"":0},{""count"":26,""id"":""1120"",""posi"":true,""tag"":""人群"",""weight"":0}]}"
2016-08-13,10:56:28,531858866565,冷艳公主2016新品中长衬衫女式V领纯色欧美复古宽松衬衣连衣裙子,冷艳公主旗舰店,79.00,,791笔,182,4.9,4.8,4.8,"
材质成分: 其他100%
销售渠道类型: 纯电商(只在线上销售)
货号: h1526
裙长: 中长裙
品牌: LENYANGONGZHU/冷艳公主
适用年龄: 18-24周岁
年份季节: 2016年夏季
颜色分类: 1526绿色系带连衣裙
尺码: S M L XL 2XL

","
卖家信息




						冷艳公主旗舰店
												
3
天猫3年店




当前主营： 服饰鞋包
所在地区：嘉兴市 



","


宝贝与描述相符：
4.9分
										41.00%





4.9分
							共7376人
						



95.21%




2.13%




1.25%




0.45%




0.96%






卖家的服务态度：
4.8分
										54.65%





4.8分
							共7376人
						



94.50%




2.90%




1.22%




0.38%




1.00%






物流服务的质量：
4.8分
										57.03%





4.8分
							共7376人
						



94.56%




2.91%




1.22%




0.34%




0.96%




","
""tags"":{""dimenSum"":10,""rateSum"":216,""tagClouds"":[{""count"":40,""id"":""620"",""posi"":true,""tag"":""整体不错"",""weight"":0},{""count"":36,""id"":""1722"",""posi"":true,""tag"":""很舒服"",""weight"":0},{""count"":32,""id"":""1822"",""posi"":true,""tag"":""穿着美"",""weight"":0},{""count"":29,""id"":""322"",""posi"":true,""tag"":""颜色很好"",""weight"":0},{""count"":24,""id"":""522"",""posi"":true,""tag"":""版型漂亮"",""weight"":0},{""count"":14,""id"":""122"",""posi"":true,""tag"":""面料好"",""weight"":0},{""count"":12,""id"":""520"",""posi"":true,""tag"":""实惠"",""weight"":0},{""count"":11,""id"":""11220"",""posi"":true,""tag"":""没有色差"",""weight"":0},{""count"":11,""id"":""222"",""posi"":true,""tag"":""大小合适"",""weight"":0},{""count"":7,""id"":""10120"",""posi"":true,""tag"":""态度不错"",""weight"":0}]}"
2016-08-13,10:56:28,530778718290,星琴2016夏装新款初高中学生纯棉小清新裙子中长款可爱少女连衣裙,星琴服饰旗舰店,116.00,,789笔,722,4.8,,4.8,"
廓形: A型
材质成分: 棉100%
货号: 1686
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中长裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 常规
腰型: 中腰
衣门襟: 套头
裙型: A字裙
图案: 纯色
品牌: 星琴
适用年龄: 18-24周岁
年份季节: 2016年夏季
颜色分类: 白色送安全
尺码: S M L XL XXL

","
卖家信息




						星琴服饰旗舰店
												
3
天猫3年店




当前主营： 服饰鞋包
所在地区：嘉兴市 



","


宝贝与描述相符：
4.8分
										10.12%





4.8分
							共13630人
						



91.40%




4.97%




1.91%




0.71%




1.01%






卖家的服务态度：
4.8分
										16.76%





4.8分
							共13630人
						



88.50%




7.12%




2.30%




0.79%




1.30%






物流服务的质量：
4.8分
										18.99%





4.8分
							共13630人
						



88.47%




7.08%




2.43%




0.73%




1.28%




","
""tags"":{""dimenSum"":10,""rateSum"":815,""tagClouds"":[{""count"":190,""id"":""620"",""posi"":true,""tag"":""质量不错"",""weight"":0},{""count"":132,""id"":""1120"",""posi"":true,""tag"":""人群"",""weight"":0},{""count"":110,""id"":""522"",""posi"":true,""tag"":""版式好"",""weight"":0},{""count"":106,""id"":""1822"",""posi"":true,""tag"":""穿着漂亮"",""weight"":0},{""count"":78,""id"":""122"",""posi"":true,""tag"":""料子不错"",""weight"":0},{""count"":71,""id"":""1722"",""posi"":true,""tag"":""很舒适"",""weight"":0},{""count"":49,""id"":""222"",""posi"":true,""tag"":""尺码很准"",""weight"":0},{""count"":36,""id"":""422"",""posi"":true,""tag"":""款式很好"",""weight"":0},{""count"":22,""id"":""11220"",""posi"":true,""tag"":""没有色差"",""weight"":0},{""count"":21,""id"":""922"",""posi"":true,""tag"":""做工不错"",""weight"":0}]}"
2016-08-13,10:56:28,529705996684,真丝连衣裙女装夏季2016新款中长款宽松大码桑蚕丝沙滩裙显瘦长裙,微糖服饰旗舰店,368.00,,788笔,624,4.8,4.8,4.8,"
廓形: A型
材质成分: 桑蚕丝100%
销售渠道类型: 纯电商(只在线上销售)
货号: CGYQFS015188X
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中长裙
款式: 其他/other
袖长: 五分袖
领型: 圆领
袖型: 常规
腰型: 宽松腰
衣门襟: 套头
裙型: A字裙
图案: 花色
流行元素/工艺: 拼接 纽扣 印花
品牌: Toumitu。/微糖
面料: 绸缎
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 水墨印花
尺码: M L XL

","
卖家信息




						微糖服饰旗舰店
												
5
天猫5年店




当前主营： 服饰鞋包
所在地区：杭州 



","


宝贝与描述相符：
4.8分
										11.56%





4.8分
							共5281人
						



92.79%




3.43%




1.63%




0.61%




1.55%






卖家的服务态度：
4.8分
										25.93%





4.8分
							共5281人
						



91.12%




4.70%




1.82%




0.66%




1.70%






物流服务的质量：
4.8分
										26.77%





4.8分
							共5281人
						



90.84%




4.96%




1.78%




0.80%




1.63%




","
""tags"":{""dimenSum"":10,""rateSum"":1009,""tagClouds"":[{""count"":250,""id"":""1722"",""posi"":true,""tag"":""衣衣很舒服"",""weight"":0},{""count"":201,""id"":""620"",""posi"":true,""tag"":""宝贝很赞"",""weight"":0},{""count"":141,""id"":""1822"",""posi"":true,""tag"":""穿上好看"",""weight"":0},{""count"":111,""id"":""122"",""posi"":true,""tag"":""料子好"",""weight"":0},{""count"":107,""id"":""522"",""posi"":true,""tag"":""外形好看"",""weight"":0},{""count"":46,""id"":""222"",""posi"":true,""tag"":""码数很准"",""weight"":0},{""count"":42,""id"":""1120"",""posi"":true,""tag"":""人群"",""weight"":0},{""count"":41,""id"":""422"",""posi"":true,""tag"":""款式好看"",""weight"":0},{""count"":39,""id"":""322"",""posi"":true,""tag"":""色彩很好"",""weight"":0},{""count"":31,""id"":""922"",""posi"":true,""tag"":""做工好"",""weight"":0}]}"
2016-08-13,10:56:28,531977749452,2016新款韩版宽松大码中长款短袖流苏吊带露肩牛仔裙连衣裙夏,乔琪诺旗舰店,139.00,,788笔,308,4.8,4.7,4.7,"
廓形: H型
材质成分: 棉77.3% 聚酯纤维17.8% 再生纤维素纤维4.9%
销售渠道类型: 纯电商(只在线上销售)
货号: 22289
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中长裙
款式: 斜肩
袖长: 短袖
领型: 一字领
袖型: 常规
腰型: 宽松腰
衣门襟: 套头
裙型: 其他
图案: 纯色
流行元素/工艺: 流苏 做旧 印花
品牌: 乔琪诺
面料: 牛仔布
适用年龄: 18-24周岁
年份季节: 2016年夏季
颜色分类: 浅蓝 军绿色 卡其色 黑色
尺码: S M L XL

","
卖家信息




						乔琪诺旗舰店
												


当前主营： 服饰鞋包
所在地区：广州市 



","


宝贝与描述相符：
4.8分
										----





4.8分
							共2800人
						



90.82%




4.29%




2.29%




0.54%




2.07%






卖家的服务态度：
4.7分
										----





4.7分
							共2800人
						



88.00%




6.32%




2.39%




0.82%




2.46%






物流服务的质量：
4.7分
										----





4.7分
							共2800人
						



88.04%




6.00%




2.29%




0.79%




2.89%




","
""tags"":{""dimenSum"":10,""rateSum"":274,""tagClouds"":[{""count"":66,""id"":""620"",""posi"":true,""tag"":""质量不错"",""weight"":0},{""count"":56,""id"":""522"",""posi"":true,""tag"":""版式好"",""weight"":0},{""count"":35,""id"":""1822"",""posi"":true,""tag"":""穿上好看"",""weight"":0},{""count"":21,""id"":""1722"",""posi"":true,""tag"":""衣衣很舒服"",""weight"":0},{""count"":19,""id"":""422"",""posi"":true,""tag"":""款式很好"",""weight"":0},{""count"":19,""id"":""622"",""posi"":true,""tag"":""厚实"",""weight"":0},{""count"":15,""id"":""1120"",""posi"":true,""tag"":""人群"",""weight"":0},{""count"":15,""id"":""122"",""posi"":true,""tag"":""料子好"",""weight"":0},{""count"":14,""id"":""10120"",""posi"":true,""tag"":""服务不错"",""weight"":0},{""count"":14,""id"":""420"",""posi"":true,""tag"":""物流快"",""weight"":0}]}"
