关键词,词频
圆领,3433
韩版,3236
聚酯纤维,2864
印花,2748
纯色,2578
无袖,2449
中腰,2255
中长裙,1915
雪纺,1912
短裙,1830
修身,1734
宽松,1697
黑色,1645
纤维,1606
中裙,1590
高腰,1546
中长款,1542
蕾丝,1430
白色,1420
甜美,1412
长裙,1279
显瘦,1250
V领,1238
条纹,1116
聚氨酯,1106
氨纶,1106
镂空,974
大摆,918
欧美,872
褶皱,809
红色,736
荷叶边,722
蓝色,705
淑女,673
桑蚕丝,673
一步裙,634
绣花,623
粉色,596
粘胶纤维,490
粘纤,490
长袖,487
碎花,482
收腰,478
复古,466
吊带,463
背带,452
大码,448
七分袖,431
五分袖,418
纱网,414
抽褶,413
性感,391
绿色,387
简约,387
聚酰胺,380
锦纶,380
松紧,359
露背,345
小清新,340
露肩,337
波西米亚,336
蝴蝶结,328
灰色,321
一字领,321
包臀,319
棉麻,315
亚麻,308
单排,302
立领,298
勾花,277
真丝连衣裙,254
欧根纱,246
公主裙,239
a字裙,235
沙滩裙,227
短袖连衣裙,223
黄色,202
荷叶袖,201
民族风,201
绑带,200
字母,199
百褶裙,198
涤纶,186
对苯二甲,184
酸乙二酯,184
刺绣,182
藏青,177
名媛,175
藏青色,172
钉珠,167
格子,166
背心裙,164
喇叭袖,153
开叉,152
大码女装,143
紫色,141
牛仔布,134
浅蓝色,124
网纱,123
织锦,118
